13113104.548303 6.770E-47 3.856E-01.04000.30012003.45720.660.000000       X3/2   8       X3/2   3                PP 10.5ff     232210 6 7 2 1 1 0    40.0   44.0
13113104.685115 1.301E-23 4.782E-02.05300.300  355.91500.660.000000       X3/2   4       X3/2   0                PP  4.5ff     342210 6 7 2 1 1 0    16.0   20.0
13113104.887278 2.951E-32 6.624E-03.04000.300 4341.77870.660.000000       X3/2   4       X3/2   0                RR 15.5ee     232210 6 7 2 1 1 0    68.0   64.0
13113105.150504 1.342E-23 4.912E-02.05300.300  355.12030.660.000000       X3/2   4       X3/2   0                PP  4.5ee     342210 6 7 2 1 1 0    16.0   20.0
13113105.518416 3.056E-32 8.661E-03.04000.300 4377.30690.660.000000       X1/2   4       X1/2   0                RR 14.5ee     232210 6 7 2 1 1 0    64.0   60.0
13113106.111307 2.355E-32 6.483E-03.04000.300 4371.28110.660.000000       X1/2   4       X1/2   0                RR 14.5ff     232210 6 7 2 1 1 0    64.0   60.0
13113106.368938 7.473E-47 4.179E-01.04000.30011999.59400.660.000000       X3/2   8       X3/2   3                PP 10.5ee     232210 6 7 2 1 1 0    40.0   44.0
13113107.410509 4.337E-51 5.953E-03.04000.30013185.66560.660.000000       X1/2   8       X1/2   3                QQ 12.5fe     232210 6 7 2 1 1 0    52.0   52.0
13113110.115760 2.546E-52 2.694E-04.04000.30013147.33470.660.000000       X3/2   8       X3/2   3                QQ 13.5fe     232210 6 7 2 1 1 0    56.0   56.0
13113110.937372 3.555E-52 9.667E-03.04000.30013888.55520.660.000000       X1/2   7       X1/2   2                QQ 19.5fe     232210 6 7 2 1 1 0    80.0   80.0
13113111.826349 4.561E-46 1.586E-05.04000.300 9695.38620.660.000000       X3/2   5       X1/2   0                OP 22.5ff     232210 6 7 2 1 1 0    88.0   92.0
13113112.128017 1.814E-46 6.001E-04.04000.30010524.24330.660.000000       X3/2   7       X1/2   2                OP 13.5ff     232210 6 7 2 1 1 0    52.0   56.0
13113113.415726 7.629E-52 1.030E-03.04000.30013182.04200.660.000000       X1/2   8       X1/2   3                QQ 12.5ef     232210 6 7 2 1 1 0    52.0   52.0
13113115.213621 5.018E-47 3.864E-01.04000.30012043.46570.660.000000       X1/2   8       X1/2   3                PP  9.5ee     342210 6 7 2 1 1 0    36.0   40.0
13113115.231566 1.686E-68 4.533E-04.04000.30020868.59730.660.000000       X3/2  13       X1/2   6                PQ 10.5fe     232210 6 7 2 1 1 0    44.0   44.0
13113116.187235 5.483E-47 4.186E-01.04000.30012041.65380.660.000000       X1/2   8       X1/2   3                PP  9.5ff     232210 6 7 2 1 1 0    36.0   40.0
13113116.809112 7.699E-68 2.051E-03.04000.30020866.72370.660.000000       X3/2  13       X1/2   6                PQ 10.5ef     232210 6 7 2 1 1 0    44.0   44.0
13113117.633182 4.007E-29 8.236E-07.04000.300  824.81650.660.000000       X3/2   4       X1/2   0                QR  5.5ee     232210 6 7 2 1 1 0    28.0   24.0
13113118.602058 3.424E-56 3.539E-04.04000.30015088.72530.660.000000       X1/2   8       X3/2   3                RQ 17.5ef     232210 6 7 2 1 1 0    72.0   72.0
13113119.183066 9.305E-67 6.949E-03.04000.30020563.70630.660.000000       X3/2  13       X1/2   6                OP  9.5ee     232210 6 7 2 1 1 0    36.0   40.0
13113119.266031 1.028E-27 2.110E-05.04000.300  824.53150.660.000000       X3/2   4       X1/2   0                QR  5.5ff     232210 6 7 2 1 1 0    28.0   24.0
13113119.297810 2.642E-63 7.872E-04.04000.30018555.50350.660.000000       X3/2  11       X1/2   5                QR 11.5ee     232210 6 7 2 1 1 0    52.0   48.0
13113119.905291 3.328E-55 8.341E-04.04000.30014695.89540.660.000000       X1/2   9       X3/2   4                SR  9.5ff     232210 6 7 2 1 1 0    44.0   40.0
13113120.830075 1.307E-66 9.697E-03.04000.30020562.28300.660.000000       X3/2  13       X1/2   6                OP  9.5ff     232210 6 7 2 1 1 0    36.0   40.0
13113123.077207 7.355E-24 5.162E-02.05300.300  429.27900.660.000000       X1/2   4       X1/2   0                PP  3.5ee     232210 6 7 2 1 1 0    12.0   16.0
13113123.132390 7.561E-24 5.312E-02.05300.300  429.46290.660.000000       X1/2   4       X1/2   0                PP  3.5ff     232210 6 7 2 1 1 0    12.0   16.0
13113123.660347 2.046E-58 2.017E-06.04000.30015078.84740.660.000000       X1/2   8       X3/2   3                RQ 17.5fe     232210 6 7 2 1 1 0    72.0   72.0
13113123.748603 4.187E-64 1.233E-04.04000.30018552.93600.660.000000       X3/2  11       X1/2   5                QR 11.5ff     232210 6 7 2 1 1 0    52.0   48.0
13113124.256703 8.998E-56 2.224E-04.04000.30014692.93270.660.000000       X1/2   9       X3/2   4                SR  9.5ee     232210 6 7 2 1 1 0    44.0   40.0
13113126.803680 1.185E-52 2.590E-03.04000.30013853.21080.660.000000       X3/2   7       X3/2   2                QQ 20.5fe     232210 6 7 2 1 1 0    84.0   84.0
13113127.219792 1.142E-52 2.970E-03.04000.30013878.82390.660.000000       X1/2   7       X1/2   2                QQ 19.5ef     232210 6 7 2 1 1 0    80.0   80.0
13113129.574129 6.457E-62 9.735E-04.04000.30017887.35880.660.000000       X3/2  11       X1/2   5                PQ  9.5fe     232210 6 7 2 1 1 0    40.0   40.0
13113129.998868 1.987E-61 2.974E-03.04000.30017885.80620.660.000000       X3/2  11       X1/2   5                PQ  9.5ef     232210 6 7 2 1 1 0    40.0   40.0
13113131.567108 1.795E-34 4.502E-05.04000.300 4351.25820.660.000000       X1/2   4       X3/2   0                RQ 15.5ef     232210 6 7 2 1 1 0    64.0   64.0
13113131.890008 6.280E-47 1.890E-06.04000.300 9691.29040.660.000000       X1/2   4       X3/2   0                SR 23.5ff     232210 6 7 2 1 1 0   100.0   96.0
13113132.602156 2.197E-54 5.396E-05.04000.30013866.89050.660.000000       X1/2   7       X3/2   2                QP 20.5ff     232210 6 7 2 1 1 0    80.0   84.0
